Name,Genres,Type,Episodes,Aired,Members,Score
Tesagure! Bukatsumono,Slice of Life,TV,12,"Oct 6, 2013 to Dec 29, 2013",11899,6.69
Ogami Matsugorou,"Action, Romance",OVA,1,"Dec 16, 1989",574,5.62
Anata ga Furikaeru Toki,Romance,OVA,1,"Mar 21, 1993",829,5.2
KY-kei JC Kuuki-chan,Comedy,ONA,6,"Aug 5, 2013 to Sep 9, 2013",875,5.37
Kimu no Juujika,Drama,Movie,1,"Jul 21, 1990",321,0.0
Eikou e no Spur: Igaya Chiharu Monogatari,"Drama, Sports",Movie,1,"Sep 13, 1997",360,0.0
Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou,Comedy,Special,5,"Apr 22, 2009 to Aug 26, 2009",8419,4.98
Ikkyuu-san (1978),Sports,TV,26,"Apr 10, 1978 to Oct 23, 1978",694,6.25
Hunter x Hunter Movie 2: The Last Mission,"Action, Adventure, Fantasy",Movie,1,"Dec 27, 2013",171222,7.28
Zetsumetsu Kigu Shoujo: Amazing Twins,Slice of Life,OVA,2,"Feb 26, 2014 to Jun 25, 2014",11089,6.32
Huckleberry no Bouken (Movie),"Adventure, Drama",Movie,1,"Aug 16, 1991",439,0.0
Barbapapa (1977),"Comedy, Fantasy",TV,48,"Apr 30, 1977 to Jun 14, 1977",892,5.82
Heisei Tensai Bakabon,"Comedy, Slice of Life",TV,46,"Jan 6, 1990 to Dec 29, 1990",774,5.93
Ikinari Dagon,"Adventure, Fantasy",TV,12,"Apr 9, 1988 to Jun 25, 1988",381,0.0
Machi Ichiban no Kechinbou,"Drama, Supernatural",Special,1,"Dec 24, 1978",603,5.66
Ashita no Joe Pilots,"Drama, Sports",Special,2,"Nov 6, 1969 to Dec 22, 1969",5024,6.15
The Impression of First Gundam,"Action, Sci-Fi",Special,1,"Aug 1, 1998",1869,5.31
Shisukon Ouji,Adventure,TV,14,"Dec 20, 1963 to Mar 27, 1964",448,0.0
Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,"Action, Adventure",Movie,1,"Jul 21, 1964",464,0.0
Uchuujin Pipi,UNKNOWN,TV,52,"Apr 8, 1965 to Mar 31, 1966",383,0.0
Kaitou Pride,"Adventure, Comedy",TV,105,"May 31, 1965 to Nov 4, 1965",427,0.0
Tatakae! Osper,"Action, Sci-Fi",TV,52,"Dec 14, 1965 to Oct 11, 1967",494,0.0
Tobidase! Bacchiri,"Comedy, Mystery",TV,132,"Nov 14, 1966 to Apr 15, 1967",396,0.0
Kaminari Boy Pikkari★bee,"Adventure, Comedy",TV,53,"Apr 1, 1967 to Mar 30, 1968",371,0.0
King Kong: 001/7 Tom Thumb,"Adventure, Sci-Fi",TV,26,"Apr 5, 1967 to Oct 4, 1967",499,0.0
Fight Da!! Pyuta,"Action, Comedy, Sci-Fi",TV,26,"Apr 6, 1968 to Sep 28, 1968",530,0.0
Sobakasu Pucchi,"Adventure, Comedy",TV,162,"Mar 31, 1969 to Oct 4, 1969",374,0.0
Mouretsu Atarou,"Comedy, Slice of Life",TV,90,"Apr 4, 1969 to Dec 25, 1970",465,0.0
Roppou Yabure-kun,Slice of Life,TV,110,"Apr 28, 1969 to Sep 26, 1969",440,0.0
Pinch to Punch,Comedy,TV,156,"Sep 29, 1969 to Mar 28, 1970",440,0.0
Hi Gekiga Ukiyoe Senya Ichiya,"Action, Hentai",Movie,1,"Oct 29, 1969",722,0.0
Doubutsu Mura Monogatari,UNKNOWN,TV,100,"Mar 30, 1970 to Jul 21, 1970",421,0.0
Sword Art Online: Extra Edition,"Action, Fantasy",Special,1,"Dec 31, 2013",307690,6.55
Otanoshimi Anime Gekijou,Comedy,TV,26,"Apr 5, 1970 to Sep 27, 1970",379,0.0
Itazura Tenshi Chippo-chan,Comedy,TV,240,"Mar 30, 1970 to Dec 31, 1970",398,0.0
Nihon Meisaku Douwa Series: Akai Tori no Kokoro,"Adventure, Fantasy",TV,26,"Feb 5, 1979 to Jul 30, 1979",552,0.0
D-Frag!,Comedy,TV,12,"Jan 7, 2014 to Mar 25, 2014",381253,7.51
Miss Monochrome The Animation,Comedy,TV,13,"Oct 2, 2013 to Dec 25, 2013",48766,6.37
Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,"Action, Sci-Fi",Special,1,"Aug 28, 2013",24592,7.07
Kill Me Baby: Butsuzou Kegatte Nise Halloween,Comedy,OVA,1,"Oct 16, 2013",14325,6.96
IS: Infinite Stratos 2 - Hitonatsu no Omoide,"Action, Comedy, Sci-Fi",OVA,1,"Oct 30, 2013",58684,6.86
Sakura Trick,"Comedy, Girls Love, Romance",TV,12,"Jan 10, 2014 to Mar 28, 2014",254691,6.96
Wizard Barristers: Benmashi Cecil,"Action, Fantasy",TV,12,"Jan 13, 2014 to Mar 31, 2014",56948,6.17
Space☆Dandy,"Comedy, Sci-Fi",TV,13,"Jan 5, 2014 to Mar 27, 2014",341999,7.88
Obocchama-kun,Comedy,TV,164,"Jan 14, 1989 to Sep 26, 1992",794,6.01
Dotanba no Manners,"Comedy, Slice of Life",TV,283,"Oct 3, 1984 to Apr 9, 1987",451,0.0
Ijiwaru Baasan,"Comedy, Slice of Life",TV,39,"Sep 3, 1970 to Aug 18, 1971",472,0.0
Ijiwaru Baasan (1996),"Comedy, Slice of Life",TV,46,"Mar 19, 1996 to Jun 13, 1997",366,0.0
Doteraman,"Comedy, Sci-Fi",TV,20,"Oct 14, 1986 to Feb 24, 1987",518,0.0
Only You: Viva! Cabaret Club,Comedy,TV,15,"Nov 4, 1998 to Nov 27, 1998",391,0.0
Treasure Gaust,UNKNOWN,TV,5,"Jun 11, 2007 to Jun 15, 2007",451,0.0
Furiten-kun,"Comedy, Slice of Life",Movie,1,"Apr 11, 1981",436,0.0
Furiten-kun (1990),"Comedy, Slice of Life",OVA,2,"Jun 21, 1990 to Jul 21, 1990",359,0.0
Bokura Mangaka: Tokiwasou Monogatari,"Comedy, Slice of Life",Special,1,"Oct 3, 1981",486,0.0
Time Ranger Cesar Boy no Bouken: Roma Teikoku-hen,"Adventure, Sci-Fi",OVA,1,"Feb 12, 1999",284,0.0
Sore Ike! Anpanman: Tekka no Maki-chan to Kin no Kamameshidon,Adventure,Movie,1,"Jul 13, 2002",410,5.7
Gekisou! Rubenkaiser,UNKNOWN,TV,17,"Oct 10, 1977 to Feb 6, 1978",587,0.0
Kotowaza House,"Comedy, Slice of Life",TV,773,"Apr 4, 1987 to Sep 28, 1994",586,5.49
Kappamaki,"Comedy, Slice of Life",TV,130,"Mar 31, 2003 to Sep 26, 2003",346,0.0
Tobidase! Machine Hiryuu,Comedy,TV,21,"Oct 5, 1977 to Mar 29, 1978",512,0.0
Kariage-kun,"Comedy, Slice of Life",TV,59,"Oct 17, 1989 to Dec 21, 1990",501,0.0
Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,"Action, Adventure, Comedy",Special,1,"Nov 15, 2013",5567,6.74
Kazu & Yasu Hero Tanjou,"Drama, Sports",Movie,1,"Jul 22, 1995",432,0.0
Wagahai wa Neko de Aru,"Comedy, Slice of Life",Special,1,"Feb 17, 1982",556,5.5
Robokko Beeton,"Adventure, Comedy, Slice of Life",TV,50,"Oct 12, 1976 to Sep 27, 1977",402,0.0
Hana no Hi,"Avant Garde, Comedy",Movie,1,2005,789,4.69
Ro-Kyu-Bu! SS Recap,"Comedy, Sports, Ecchi",Special,1,"Aug 16, 2013",4290,6.46
Pokemon: The Origin,"Action, Adventure, Comedy, Fantasy",Special,4,"Oct 2, 2013",225021,7.73
Mori no Senshi Bonolon,"Adventure, Fantasy",TV,26,"Nov 5, 2007 to May 17, 2008",290,0.0
Gamba to Kawauso no Bouken,Adventure,Movie,1,"Jul 20, 1991",469,6.1
Gin no Otoko,Erotica,OVA,1,"Jan 10, 1992",660,4.89
Manga Ijin Monogatari,UNKNOWN,TV,46,"Nov 18, 1977 to Sep 29, 1978",503,0.0
Pa-Pa-Pa the ★ Movie: Perman,"Adventure, Comedy",Movie,1,"Mar 8, 2003",773,6.37
Genei wo Kakeru Taiyou: Fumikomenai Kokoro,UNKNOWN,Special,1,"Nov 16, 2013",7035,6.24
Boku no Son Gokuu,"Adventure, Fantasy",Movie,1,"Jul 12, 2003",697,5.95
Ganbare Gonbe,Comedy,TV,77,"Apr 14, 1980 to Aug 19, 1980",328,0.0
Easy Cooking Animation: Seishun no Shokutaku,"Comedy, Gourmet",TV,25,"Jul 5, 1989 to Jan 31, 1990",437,0.0
Yama ni Kagayaku: Guide-ken Heiji Gou,"Drama, Slice of Life",Special,1,"Apr 21, 2012",291,0.0
Boku no Boukuugou,Drama,Special,1,"Aug 13, 2005",790,5.99
Minami-ke Natsuyasumi,"Comedy, Slice of Life",OVA,1,"Aug 6, 2013",18119,7.37
Shounen Tokugawa Ieyasu,Drama,TV,20,"Apr 9, 1975 to Sep 17, 1975",579,0.0
Umigame to Shounen,Drama,Special,1,"Aug 15, 2002",602,5.94
Yocchan no Biidama,Drama,Special,1,1999,234,0.0
Makkuro na Obentou,Drama,Movie,1,"Jun 12, 1990",454,0.0
Manga Kodomo Bunko,"Drama, Fantasy",TV,51,"Oct 6, 1978 to Sep 28, 1979",401,0.0
Tonari no Tamageta-kun,"Comedy, Sci-Fi",TV,60,"Apr 5, 1974 to Jun 27, 1975",422,0.0
Tako ni Natta Okaasan,Drama,Special,1,"Aug 15, 2003",831,6.29
Anime Document: München e no Michi,Sports,TV,16,"Apr 23, 1972 to Aug 20, 1972",524,0.0
Hana no Kakarichou,"Comedy, Slice of Life",TV,25,"Oct 3, 1976 to Mar 27, 1977",462,0.0
Manga Hana no Kakarichou,"Comedy, Slice of Life",Movie,1,"Nov 28, 1981",315,0.0
Gatapishi,"Comedy, Slice of Life",TV,199,"Apr 23, 1990 to Mar 29, 1991",456,0.0
W-Tails Cat: A Strange Presence,"Action, Sci-Fi",ONA,7,"May 7, 2013 to Oct 24, 2013",636,5.06
Wooser no Sono Higurashi: Kakusei-hen,"Comedy, Fantasy, Slice of Life",TV,12,"Jan 8, 2014 to Mar 26, 2014",6395,6.56
Koroshiya-san: The Hired Gun,"Action, Comedy, Suspense",TV,10,"Oct 11, 2013 to Dec 13, 2013",7271,5.45
Gakkou no Yuurei,Horror,OVA,6,"Oct 21, 1995 to Dec 12, 1997",1439,5.82
Zeonic Toyota Special Movie,UNKNOWN,ONA,2,"Aug 25, 2013 to Sep 23, 2015",3043,6.12
Yamada-kun to 7-nin no Majo PV,"Comedy, Supernatural",ONA,1,"Aug 25, 2013",56714,7.26
Another: Misaki Mei - Shizukani,UNKNOWN,Music,1,"Mar 29, 2013",24545,6.13
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"Boys Love, Comedy, Drama, Romance",Movie,1,"Mar 15, 2014",64618,7.86
Dorei Usagi to Anthony The Animation,Hentai,OVA,1,"Nov 29, 2013",9842,7.14
Junk Land The Animation,Hentai,OVA,1,"Nov 29, 2013",7831,6.73
Jungle Taitei Movie,Adventure,Movie,1,"Jul 31, 1966",1203,6.35
Baka Mukashibanashi Movie: Jijii Wars,"Comedy, Fantasy",Movie,1,"May 18, 2013",337,0.0
Eguchi Hisashi no Kotobuki Gorou Show,"Comedy, Ecchi",OVA,4,"May 21, 1991 to Nov 21, 1991",1703,4.6
Hidamari Sketch: Chou Hidamatsuri Special,Comedy,Special,1,"Dec 12, 2007",3442,6.51
Kamisama no Inai Nichiyoubi: Kioku,"Fantasy, Mystery",Special,1,"Feb 5, 2014",28364,6.87
Hoozuki no Reitetsu,"Comedy, Fantasy",TV,13,"Jan 10, 2014 to Apr 4, 2014",127549,7.77
Meitantei Holmes: Mrs. Hudson Hitojichi Jiken no Maki / Dover Kaikyou no Daikuuchuusen no Maki,"Adventure, Comedy, Mystery",Movie,1,"Aug 2, 1986",973,6.48
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",Comedy,OVA,1,"Oct 22, 2014",87232,6.97
Mikosuri Han-Gekijou,Comedy,OVA,1,"Mar 21, 2013",239,0.0
"Inari, Konkon, Koi Iroha.","Comedy, Romance, Supernatural",TV,10,"Jan 16, 2014 to Mar 20, 2014",160671,7.2
Little Nemo Pilot (1987),Adventure,Special,1,1987,968,5.86
Himeyuri,Drama,Movie,1,"Jun 23, 2012",1121,6.31
Aoki Uru,Sci-Fi,Movie,1,Not available,6989,0.0
Teekyuu 3,Comedy,TV,12,"Oct 6, 2013 to Dec 22, 2013",26282,6.73
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,"Action, Comedy, Fantasy, Sci-Fi",OVA,1,"Mar 26, 2014",32395,7.22
Maji,Drama,OVA,3,"Feb 3, 1990 to Dec 13, 1991",476,0.0
Kimi to Boku,"Drama, Slice of Life",ONA,1,"May 14, 2001",2803,6.88
Noragami,"Action, Fantasy",TV,12,"Jan 5, 2014 to Mar 23, 2014",2079087,7.95
Fate/kaleid liner Prisma☆Illya 2wei!,"Action, Comedy, Fantasy",TV,10,"Jul 10, 2014 to Sep 11, 2014",158478,7.22
Little Busters! EX,"Comedy, Drama, Romance, Supernatural",Special,8,"Jan 29, 2014 to Jul 30, 2014",53985,7.69
Harinezumi,UNKNOWN,Music,1,"Jul 20, 2012",342,5.74
Z/X: Ignition,"Adventure, Fantasy, Sci-Fi",TV,12,"Jan 10, 2014 to Apr 3, 2014",39845,6.48
Nameko-ke no Ichizoku,"Comedy, Slice of Life",OVA,13,"Dec 20, 2013 to Jul 16, 2014",998,6.1
Mikakunin de Shinkoukei,"Comedy, Romance, Supernatural",TV,12,"Jan 9, 2014 to Mar 27, 2014",383027,7.38
Bayonetta: Bloody Fate,"Action, Fantasy",Movie,1,"Nov 23, 2013",50091,6.62
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,"Comedy, Fantasy, Ecchi",OVA,1,"Mar 7, 2014",46963,6.78
Top wo Nerae 2! Kagaku Kouza,Sci-Fi,Special,3,"Jun 22, 2012",1895,5.4
SoniAni: Super Sonico The Animation,Slice of Life,TV,12,"Jan 6, 2014 to Mar 24, 2014",84398,6.07
11eyes Picture Drama,Comedy,Special,13,"Jun 25, 2010",5181,5.36
Nekketsu Tantei Jimusho,"Comedy, Mystery",ONA,5,"Sep 16, 2013 to Oct 15, 2013",535,5.16
Haikyuu!!,Sports,TV,25,"Apr 6, 2014 to Sep 21, 2014",1870150,8.44
Ashinaga Ojisan,"Comedy, Drama",Special,1,"Oct 10, 1979",957,5.46
Bikyaku Seido Kaichou Ai,Hentai,OVA,1,"Mar 28, 2014",6000,6.46
Kyoufu no Kyou-chan,Comedy,TV,7,"Nov 13, 1994 to Mar 5, 1995",321,0.0
Viva Namida,UNKNOWN,Music,1,"Sep 22, 2013",5188,6.65
Kimi no Iru Machi OVA,"Drama, Romance",OVA,2,"Jan 17, 2014 to Mar 17, 2014",18897,7.03
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Slice of Life, Supernatural",OVA,1,"Feb 5, 2014",77327,8.33
Amnesia OVA,Fantasy,OVA,1,"Sep 25, 2013",32465,6.32
Zeonic Front: Kidou Senshi Gundam 0079 - Zeon no Hifun,UNKNOWN,Special,1,"Sep 6, 2001",2261,5.64
Shashinkan,"Drama, Slice of Life",Movie,1,"Nov 9, 2013",7664,7.29
Hinata no Aoshigure,"Adventure, Fantasy, Romance",Movie,1,"Nov 9, 2013",24703,6.89
Hamatora The Animation,"Action, Mystery, Supernatural",TV,12,"Jan 8, 2014 to Mar 26, 2014",295395,7.26
Goannai Shimasu Another World e,Slice of Life,OVA,1,2004,241,0.0
Baka Misérables,Comedy,ONA,3,"May 21, 2013 to Jun 28, 2013",487,5.4
"""0""",UNKNOWN,Music,1,"Sep 11, 2013",3917,4.65
Sabage-bu!,"Action, Comedy",TV,12,"Jul 6, 2014 to Sep 21, 2014",151347,7.35
Mai Zhu,Comedy,Movie,1,"Aug 30, 2012",610,5.22
Kyousou Giga (TV) Recaps,"Action, Fantasy",Special,2,"Oct 3, 2013 to Dec 26, 2013",10943,6.51
"Lies, Lies.",UNKNOWN,Music,1,"Oct 27, 2010",428,5.01
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,"Action, Adventure, Comedy, Fantasy",Special,1,"Oct 3, 2013",8189,6.61
Love Live! School Idol Project OVA,Slice of Life,OVA,1,"Nov 27, 2013",50025,6.85
Ganbare! Lulu Lolo,Slice of Life,TV,26,"Jan 17, 2013 to Feb 21, 2013",443,0.0
Taimanin Yukikaze,"Supernatural, Hentai",OVA,3,"Nov 29, 2013 to Jan 29, 2016",11644,6.47
Noragami OVA,"Comedy, Fantasy",OVA,2,"Feb 17, 2014 to Jul 17, 2014",317396,7.72
Mahouka Koukou no Rettousei,"Action, Fantasy, Romance, Sci-Fi",TV,26,"Apr 6, 2014 to Sep 28, 2014",1021614,7.41
Black Bullet,"Action, Mystery, Sci-Fi",TV,13,"Apr 8, 2014 to Jul 1, 2014",895523,7.09
Sennen no Yakusoku,Slice of Life,OVA,1,Mar 2005,241,0.0
Norman the Snowman: Kita no Kuni no Aurora,"Adventure, Fantasy",Movie,1,"Nov 23, 2013",374,0.0
Koakuma Kanojo The Animation,"Supernatural, Hentai",OVA,2,"Dec 20, 2013 to Feb 26, 2016",22685,7.2
Maid of the Dead,"Comedy, Horror",ONA,1,"Oct 7, 2013",4313,4.12
Sekaiichi Hatsukoi: Valentine-hen,"Boys Love, Comedy, Romance",Movie,1,"Mar 15, 2014",40233,7.77
Joshikousei Nobunaga-chan!!,"Comedy, Ecchi",ONA,10,"Aug 12, 2010 to Feb 10, 2012",1390,5.69
Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,"Comedy, Slice of Life",Special,2,"Feb 5, 2014 to Mar 5, 2014",10491,6.86
Seitokai Yakuindomo*,Comedy,TV,13,"Jan 4, 2014 to Mar 30, 2014",247596,7.69
Oni Chichi 2: Revenge,Hentai,OVA,2,"Nov 29, 2013 to Mar 28, 2014",18656,6.73
Hitsugi no Chaika,"Action, Adventure, Fantasy, Romance",TV,12,"Apr 10, 2014 to Jun 26, 2014",370599,7.22
Bacterial Contamination,"Avant Garde, Horror",Music,1,"Feb 3, 2012",4879,5.99
Nebula feat. Hatsune Miku,UNKNOWN,Music,1,"Feb 3, 2009",2075,5.49
Nulu-chan to Boku,"Comedy, Fantasy",ONA,1,Dec 2012,475,5.28
Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,"Comedy, Fantasy",Special,1,"Mar 5, 2011",10693,6.54
Hana no Zundamaru,Comedy,ONA,8,"Oct 22, 2013 to Dec 9, 2013",456,5.57
Music S.T.A.R.T!!,UNKNOWN,Music,1,"Nov 27, 2013",12591,7.17
Kuro no Su: Chronus,UNKNOWN,Movie,1,"Mar 1, 2014",18854,6.78
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action, Adventure, Supernatural",TV,24,"Apr 5, 2014 to Sep 13, 2014",1147954,8.1
Harmonie,"Drama, Slice of Life",Movie,1,"Mar 1, 2014",56792,7.24
Ookii 1 Nensei to Chiisana 2 Nensei,Adventure,Movie,1,"Mar 1, 2014",4688,6.34
Kyoukai no Kanata: Mini Gekijou,"Slice of Life, Supernatural",Special,7,"Jan 8, 2014 to Jul 2, 2014",42338,6.89
6♥Princess,UNKNOWN,Music,1,"Oct 4, 2013",4364,5.48
Diabolik Lovers Recap,UNKNOWN,Special,1,"Oct 28, 2013",25021,5.41
Galo Sengen,Comedy,Music,1,"Jan 9, 2011",1766,6.34
Oneechan ga Kita,"Comedy, Slice of Life",TV,12,"Jan 9, 2014 to Mar 27, 2014",115939,6.33
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA","Comedy, Romance",OVA,1,"May 20, 2014",71222,7.16
Iron Kid,"Action, Adventure, Comedy, Sci-Fi",TV,26,"Apr 6, 2006 to Sep 28, 2006",4813,6.84
DPR Special Movie,Slice of Life,Special,1,"Oct 17, 2013",1334,5.36
Peeping Life: YouTuber-kun,Comedy,ONA,4,"Aug 8, 2013 to Aug 29, 2013",805,4.29
Kansen: Ball Buster The Animation,Hentai,OVA,1,"Nov 1, 2013",6696,5.8
Parol no Miraijima,"Action, Adventure, Fantasy",Movie,1,"Mar 1, 2014",2906,5.85
Shimajirou no Wow! Movie 2: Shimajirou to Kujira no Uta,"Adventure, Comedy, Fantasy",Movie,1,"Mar 14, 2014",356,0.0
Wonder Garden,Fantasy,ONA,1,"Oct 19, 2013",7575,6.35
Tezuka Osamu no Buddha: Owarinaki Tabi,"Drama, Supernatural",Movie,1,"Feb 8, 2014",3970,6.88
Kiniro no Corda: Blue♪Sky,UNKNOWN,TV,12,"Apr 6, 2014 to Jun 22, 2014",26419,6.41
Sekai Seifuku: Bouryaku no Zvezda,"Action, Comedy, Fantasy",TV,12,"Jan 12, 2014 to Mar 30, 2014",141933,7.05
Seisenshi Dunbine Memorial,"Adventure, Sci-Fi",Special,3,"Feb 25, 1988 to Aug 25, 1988",696,5.72
Tonari no Seki-kun OVA,Comedy,OVA,1,"Jan 4, 2014",38413,7.39
Yoza-Quar!,Comedy,Special,6,"Dec 18, 2013 to May 21, 2014",9341,6.5
Himekishi Olivia,Hentai,OVA,2,"Dec 6, 2013 to Jun 6, 2014",7268,6.47
Mini Van Special,"Comedy, Slice of Life",Special,1,"Jun 18, 2013",960,6.14
Dekakute Ecchi na Ore no Ane,Hentai,OVA,1,"Dec 20, 2013",12769,6.93
Sekai de Ichiban Tsuyoku Naritai! Specials,"Action, Sports, Ecchi",Special,6,"Dec 12, 2013 to May 12, 2014",8067,5.67
Marvel Disk Wars: The Avengers,Action,TV,51,"Apr 2, 2014 to Mar 25, 2015",8499,5.76
Noonbory,Fantasy,TV,26,"Sep 19, 2009 to Dec 12, 2009",260,0.0
Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,"Adventure, Fantasy, Sci-Fi",Movie,1,"Nov 16, 2013",386,0.0
Chang,"Drama, Suspense",Movie,1,"Nov 1, 2012",800,5.64
Saibi,"Drama, Suspense",Movie,1,"Nov 21, 2013",4544,6.54
Precure All Stars Movie New Stage 3: Eien no Tomodachi,UNKNOWN,Movie,1,"Mar 15, 2014",4289,7.3
Seikoku no Dragonar,"Comedy, Fantasy, Ecchi",TV,12,"Apr 5, 2014 to Jun 21, 2014",215811,6.43
Uchuu Icchokusen,"Fantasy, Mystery, Sci-Fi",Movie,1,"Oct 5, 2010",781,0.0
Gatchaman Crowds Insight,"Action, Sci-Fi",TV,12,"Jul 5, 2015 to Sep 27, 2015",73522,7.24
Follow Me,"Drama, Romance, Slice of Life",Music,1,"Oct 31, 2012",2602,6.14
Ikemen Kyuugo-tai Nurse Angels,Comedy,TV,10,"Apr 26, 2013 to Jun 28, 2013",413,0.0
Mission School,UNKNOWN,Music,1,"Nov 22, 2006",763,5.56
Oppai Infinity∞! The Animation,Hentai,OVA,1,"Jan 31, 2014",5122,6.38
Yakusoku (ONA),Drama,ONA,1,"Aug 13, 2013",1410,6.42
Strange+,"Comedy, Slice of Life",TV,12,"Jan 10, 2014 to Mar 28, 2014",31511,5.97
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,Hentai,OVA,1,"Dec 20, 2013",14878,7.04
Puchimas!!: Petit Petit iDOLM@STER,"Comedy, Slice of Life",ONA,74,"Apr 1, 2014 to Jun 30, 2014",8542,7.18
Hetalia: The Beautiful World Extra Disc,Comedy,OVA,1,"Feb 26, 2014",10100,7.3
Kakumeiki Valvrave Recaps,"Action, Sci-Fi",ONA,3,"Sep 20, 2013 to Sep 22, 2013",3304,6.13
Yu Bang Xiang Zheng,UNKNOWN,Movie,1,Feb 1984,873,5.6
Witch Craft Works,"Action, Fantasy, Supernatural",TV,12,"Jan 5, 2014 to Mar 23, 2014",324532,7.0
Lost Forest,UNKNOWN,Music,1,"Jan 9, 2012",972,5.4
Oni Chichi: Rebuild,Hentai,OVA,3,"Dec 27, 2013 to Dec 26, 2014",26256,7.12
Kenji no Trunk,Fantasy,Movie,1,"Aug 24, 1996",475,0.0
Katta-kun Monogatari,Adventure,Movie,1,"Jul 12, 1995",282,0.0
Utopia,UNKNOWN,Music,1,"Feb 26, 2014",7252,6.41
Love Stage!!,"Boys Love, Comedy, Romance",TV,10,"Jul 10, 2014 to Sep 11, 2014",252042,7.19
Buddy Spirits,Action,ONA,1,"Sep 3, 2013",821,5.16
Heart Cocktail Again,Romance,OVA,1,"Oct 22, 2003",569,6.12
Youtai Nuhai Zai Shanghai,UNKNOWN,Movie,1,May 2010,521,5.5
Wansa-kun OVA,Comedy,OVA,1,1989,299,0.0
Oni no Ko to Yuki Usagi,Fantasy,Movie,1,1995,489,5.98
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Fantasy,TV,12,"Apr 10, 2014 to Jun 26, 2014",61007,6.43
Nobunaga the Fool,"Action, Sci-Fi",TV,24,"Jan 6, 2014 to Jun 23, 2014",97629,6.64
Dragon Fist,"Drama, Fantasy",OVA,1,"Mar 20, 1991",1741,4.22
Baby Steps,Sports,TV,25,"Apr 6, 2014 to Sep 21, 2014",143685,7.8
"Wake Up, Girls! Shichinin no Idol",Drama,Movie,1,"Jan 10, 2014",23461,7.17
Soul Eater: Late Night Show,"Action, Comedy, Fantasy",Special,51,Apr 2008 to Mar 2009,26776,6.84
Teekyuu 2 Specials,"Comedy, Sports",Special,2,"Oct 25, 2013",10272,6.47
Zettai Shougeki: Platonic Heart Picture Drama,"Action, Ecchi",Special,4,"Nov 27, 2008 to Feb 25, 2009",1518,5.03
Imanara Maniau! Log Horizon,"Action, Adventure, Fantasy",Special,1,"Nov 11, 2013",20317,6.76
Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,Comedy,ONA,5,"Nov 18, 2013 to Jul 2, 2014",36761,6.55
Takarajima Movie,"Adventure, Drama, Mystery, Supernatural",Movie,1,"May 9, 1987",920,6.15
Go! Go! 575,Slice of Life,TV,4,"Jan 10, 2014 to Jan 31, 2014",11669,5.62
Gochuumon wa Usagi desu ka?,Slice of Life,TV,12,"Apr 10, 2014 to Jun 26, 2014",226805,7.49
Yawaraka Sensha,Comedy,ONA,53,Dec 2005 to Nov 2011,394,0.0
Yawaraka Atom,Comedy,ONA,7,Oct 2007 to Oct 2008,378,0.0
Sore Ike! Anpanman: Minami no Umi wo Sukue!,"Comedy, Fantasy",Special,1,"Aug 26, 1990",388,0.0
Sore Ike! Anpanman: Shabondama no Purun,"Comedy, Fantasy",Movie,1,"Jul 14, 2007",444,6.29
Sore Ike! Anpanman: Tenohira wo Taiyou ni,"Comedy, Fantasy",Movie,1,"Jul 25, 1998",379,6.06
Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,"Comedy, Fantasy",Movie,1,"Jul 29, 2000",404,0.0
Trick or Alice,Fantasy,OVA,1,"Dec 22, 2016",7634,5.16
Pupipo!,"Comedy, Slice of Life, Supernatural",TV,15,"Dec 21, 2013 to Mar 29, 2014",20971,6.79
Isshuukan Friends.,"Comedy, Slice of Life",TV,12,"Apr 7, 2014 to Jun 23, 2014",306197,7.53
Mushishi: Hihamukage,"Adventure, Mystery, Slice of Life, Supernatural",Special,1,"Jan 4, 2014",133534,8.54
Kazoku no Hanashi,Drama,ONA,1,"Nov 16, 2013",934,6.43
Double Circle,Sci-Fi,ONA,6,"Dec 19, 2013 to Sep 26, 2014",5658,4.8
Psycho-Pass Movie,"Action, Sci-Fi",Movie,1,"Jan 9, 2015",262211,7.71
