Name,Genres,Type,Episodes,Aired,Members,Score
GetBackers,"Action, Mystery, Supernatural",TV,49,"Oct 5, 2002 to Sep 20, 2003",119875,7.58
Green Green,"Comedy, Romance, Ecchi",TV,12,"Jul 13, 2003 to Sep 28, 2003",115548,6.15
Gunslinger Girl,"Action, Drama, Sci-Fi",TV,13,"Oct 9, 2003 to Feb 19, 2004",185016,7.39
Hikaru no Go,"Comedy, Drama, Supernatural",TV,75,"Oct 10, 2001 to Mar 26, 2003",133599,8.08
Hunter x Hunter,"Action, Adventure, Fantasy",TV,62,"Oct 16, 1999 to Mar 31, 2001",564771,8.41
Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",OVA,8,"Jan 17, 2002 to Apr 17, 2002",122636,8.31
Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",OVA,8,"Feb 5, 2003 to Apr 16, 2003",150175,8.18
Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",OVA,14,"Mar 3, 2004 to Aug 18, 2004",139464,8.25
Jinki:Extend,Sci-Fi,TV,12,"Jan 6, 2005 to Mar 24, 2005",11401,6.1
Kamikaze Kaitou Jeanne,"Action, Drama, Mystery, Romance, Supernatural",TV,44,"Feb 13, 1999 to Jan 29, 2000",54889,7.46
Kannazuki no Miko,"Drama, Girls Love, Romance, Supernatural",TV,12,"Oct 2, 2004 to Dec 18, 2004",69192,6.81
Kanon,"Drama, Romance, Supernatural",TV,13,"Jan 31, 2002 to Mar 28, 2002",64293,7.07
Kareshi Kanojo no Jijou,"Comedy, Drama, Romance",TV,26,"Oct 2, 1998 to Mar 26, 1999",220497,7.59
Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,12,"Apr 2, 2004 to Jun 18, 2004",59737,6.71
Kimi ga Nozomu Eien,"Drama, Romance",TV,14,"Oct 5, 2003 to Jan 4, 2004",139156,7.18
Kita e.: Diamond Dust Drops,"Drama, Romance",TV,12,"Jan 20, 2004 to Apr 5, 2004",9050,6.56
Loveless,"Action, Boys Love, Drama, Mystery, Supernatural",TV,12,"Apr 7, 2005 to Jun 30, 2005",137813,6.76
Blood+,"Action, Drama, Horror, Mystery, Supernatural",TV,50,"Oct 8, 2005 to Sep 23, 2006",367577,7.62
Re: Cutey Honey,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",OVA,3,"Jul 24, 2004 to Sep 25, 2004",28103,7.1
Solty Rei,"Action, Sci-Fi",TV,24,"Oct 7, 2005 to Mar 31, 2006",29283,7.27
Juuni Kokuki,"Action, Adventure, Fantasy",TV,45,"Apr 9, 2002 to Aug 30, 2003",144333,8.02
Shaman King,"Action, Adventure, Comedy, Supernatural",TV,64,"Jul 4, 2001 to Sep 25, 2002",356061,7.75
X/1999,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",Movie,1,"Aug 3, 1996",36913,6.57
X,"Action, Drama, Fantasy, Romance",TV,24,"Oct 3, 2001 to Mar 27, 2002",80243,7.4
Mahou Sensei Negima!,"Comedy, Fantasy, Romance, Supernatural, Ecchi",TV,26,"Jan 6, 2005 to Jun 30, 2005",138093,6.94
Maria-sama ga Miteru,"Drama, Girls Love",TV,13,"Jan 8, 2004 to Apr 1, 2004",67257,7.29
Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",TV,24,"Apr 7, 2004 to Sep 22, 2004",18457,6.28
"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Sci-Fi",TV,13,"Oct 14, 1999 to Jan 20, 2000",138932,7.61
Peace Maker Kurogane,"Action, Comedy",TV,24,"Oct 8, 2003 to Mar 24, 2004",56677,7.3
Pita Ten,"Comedy, Fantasy, Romance",TV,26,"Apr 7, 2002 to Sep 29, 2002",23271,6.93
Power Stone,"Adventure, Comedy, Fantasy",TV,26,"Apr 3, 1999 to Sep 25, 1999",7750,6.55
Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",Movie,1,"Jul 12, 1997",1190601,8.67
RahXephon,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",TV,26,"Jan 21, 2002 to Sep 11, 2002",116145,7.39
Samurai 7,Sci-Fi,TV,26,"Jun 12, 2004 to Dec 25, 2004",128166,7.44
Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",TV,24,"Apr 8, 2003 to Oct 7, 2003",93327,7.38
s.CRY.ed,"Action, Adventure, Drama, Sci-Fi",TV,26,"Jul 4, 2001 to Dec 26, 2001",81088,7.36
Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural",TV,12,"Oct 10, 2003 to Dec 26, 2003",163534,6.82
Slam Dunk,Sports,TV,101,"Oct 16, 1993 to Mar 23, 1996",283226,8.54
Strange Dawn,"Adventure, Drama, Fantasy",TV,13,"Jul 11, 2000 to Sep 26, 2000",5523,6.32
Tactics,"Mystery, Supernatural",TV,25,"Oct 6, 2004 to Mar 30, 2005",40311,7.2
Tenjou Tenge,"Action, Comedy, Ecchi",TV,24,"Apr 2, 2004 to Sep 17, 2004",184419,6.88
Tokyo Underground,"Action, Adventure, Romance, Sci-Fi",TV,26,"Apr 2, 2002 to Sep 24, 2002",28859,6.59
Triangle Heart: Sweet Songs Forever,"Adventure, Romance",OVA,4,"Jul 24, 2003 to Dec 26, 2003",6869,6.09
Tsubasa Chronicle,"Action, Adventure, Fantasy, Romance",TV,26,"Apr 9, 2005 to Oct 15, 2005",222752,7.52
Ultra Maniac,"Comedy, Romance",TV,26,"May 20, 2003 to Nov 11, 2003",32480,7.16
Ultra Maniac OVA,"Comedy, Romance",OVA,1,"Aug 6, 2002",5554,6.62
Vandread,"Action, Sci-Fi, Ecchi",TV,13,"Oct 3, 2000 to Dec 19, 2000",82637,7.17
Vandread: The Second Stage,"Action, Sci-Fi, Ecchi",TV,13,"Oct 5, 2001 to Jan 18, 2002",52908,7.39
Tenkuu no Escaflowne,"Adventure, Fantasy, Romance",TV,26,"Apr 2, 1996 to Sep 24, 1996",150794,7.67
Whistle!,Sports,TV,39,"May 6, 2002 to Feb 3, 2003",14263,7.39
Xenosaga The Animation,"Action, Sci-Fi",TV,12,"Jan 6, 2005 to Mar 24, 2005",20156,6.32
Initial D First Stage,"Action, Drama",TV,26,"Apr 19, 1998 to Dec 6, 1998",353680,8.33
Initial D Second Stage,"Action, Drama",TV,13,"Oct 15, 1999 to Jan 21, 2000",202885,8.16
Initial D Third Stage,"Action, Drama, Romance",Movie,1,"Jan 13, 2001",167970,7.9
Gosenzo San'e,"Comedy, Mystery, Supernatural, Hentai",OVA,4,"Sep 25, 1998 to Mar 25, 1999",3025,6.03
Love Hina,"Comedy, Romance, Ecchi",TV,24,"Apr 19, 2000 to Sep 27, 2000",259281,7.1
Love Hina Again,"Comedy, Drama, Romance, Ecchi",OVA,3,"Jan 26, 2002 to Mar 27, 2002",84091,7.21
Love Hina Christmas Special: Silent Eve,"Comedy, Romance",Special,1,"Dec 25, 2000",57393,7.31
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",Special,1,"Apr 2, 2001",52165,7.18
Maburaho,"Comedy, Drama, Romance, Ecchi",TV,24,"Oct 14, 2003 to Apr 6, 2004",95727,6.74
Macross Zero,"Action, Adventure, Sci-Fi",OVA,5,"Dec 21, 2002 to Oct 20, 2004",38122,7.51
Onegai☆Teacher,"Drama, Romance, Sci-Fi",TV,12,"Jan 10, 2002 to Mar 28, 2002",172570,7.11
Onegai☆Twins,"Comedy, Drama, Sci-Fi",TV,12,"Jul 15, 2003 to Oct 14, 2003",87715,6.82
Rizelmine,"Comedy, Romance, Sci-Fi, Ecchi",TV,24,"Apr 3, 2002 to Dec 22, 2002",24637,6.51
Speed Grapher,"Action, Mystery",TV,24,"Apr 8, 2005 to Sep 30, 2005",110219,7.31
Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Supernatural",Movie,1,"Jul 20, 2001",1760676,8.78
Tenshi na Konamaiki,"Comedy, Romance",TV,50,"Apr 7, 2002 to Mar 30, 2003",27245,7.43
